,neighborhood,%inc_rac,public_housing,pc,Foreign-born population,Median household income ($2016),"Median rent, all ($2016)",Percent Asian,Percent Hispanic,Percent black,Percent white,Population aged 25+ with a bachelor's degree or higher,Population aged 25+ without a high school diploma,"Population density (1,000 persons per square mile)",Poverty rate,Racial diversity index,Unemployment rate,entropy_index,avg_entropy
33,Rego Park/Forest Hills,0.00786647137858684,0,0,0.46090018066666666,62658.333333333336,1317.5,0.23371818158333327,0.12962591525,0.021722617250000003,0.5069712734166666,0.48862065025000007,0.07502063933333333,38.174709964166674,0.093846748,0.5554320533333333,0.05774573066666667,0.0056151545582692804,1.0358480335877445
34,Riverdale/Kingsbridge,-0.0015894270704108558,0,0,0.30224749874999995,54070.0,1108.3333333333333,0.04512395041666667,0.4028771095833333,0.1161511565833333,0.33359194525,0.36197344574999996,0.16665286741666666,29.48732202166667,0.15379145525000001,0.5993719293333334,0.08553898300000001,-0.003029420778113069,1.1349291185100367
35,Rockaways,0.008362279289211051,1,1,0.24120810516666666,46583.333333333336,929.1666666666666,0.022814786666666666,0.20011005108333335,0.34714989308333327,0.32843447175,0.242497384,0.20364000999999998,9.605947435000001,0.1771067549166667,0.6195697188333332,0.07687317808333334,0.007588115820178709,1.1533917023892106
36,Sheepshead Bay/Gravesend,,0,0,0.42742751866666673,48517.5,1078.3333333333333,0.10336408191666667,0.05516170333333334,0.021731193166666662,0.4754757900833333,0.34051137575,0.1350239673333333,31.108364069166665,0.14567324233333334,0.30420243041666667,0.06791927991666666,,
37,Soundview/Parkchester,0.002145668861011045,1,1,0.28141860325000007,35586.666666666664,970.8333333333334,0.0629124185,0.5200607690833333,0.27799056424999996,0.030279982416666667,0.14375905549999998,0.27718281508333337,37.617925942499994,0.24701701391666672,0.5311276269999999,0.10306040324999999,0.0016733316631717399,0.9723748844443971
38,South Crown Heights,0.031161993275773788,0,0,0.3981875908333334,40356.666666666664,1053.3333333333333,0.014822004583333333,0.07997213641666666,0.6550904945833332,0.14921727108333332,0.22963351833333334,0.15964463866666667,59.08104020416667,0.19018613800000003,0.41313871108333333,0.11219837449999999,0.023990789017013056,0.8052376846933154
39,South Ozone Park/Howard Beach,0.0010424347821055785,0,0,0.41930617600000003,60429.166666666664,1272.5,0.18302911274999997,0.21531707783333331,0.14570015991666666,0.23104479625,0.17570097475,0.21238100475000002,19.669994566666666,0.10541528666666666,0.7455619802500001,0.08756293525000002,-0.002063959812452483,1.2955297044748506
40,Stuyvesant Town/Turtle Bay,0.012529226743370132,0,0,0.21033536566666666,99044.16666666667,1753.3333333333333,0.12924036908333333,0.06815674758333333,0.028997659999999998,0.6684750965,0.718773523,0.027224218416666664,80.87842778833333,0.073830474,0.40361614649999994,0.0417179915,0.007579259450622675,0.8024185392316828
41,Sunnyside/Woodside,-0.00030833483831103274,0,2,0.521910314,53470.0,1300.0,0.3129302523333333,0.31029735166666667,0.01466179125,0.2594859329166667,0.3076839970833333,0.198127125,20.935434806666667,0.12239889658333335,0.63042544075,0.05682311116666667,-0.00039636306040136127,1.1568556829222691
42,Sunset Park,0.0016745097230713409,0,2,0.43255149,43445.0,1141.6666666666667,0.27639771799999996,0.38749290174999995,0.024989469666666663,0.21286623541666663,0.2222611718333333,0.36895631599999995,32.95573856,0.24773275124999997,0.6169024525833334,0.07219559966666668,0.0029836036244152483,1.1586600345029492
43,Throgs Neck/Co-op City,,1,1,0.17727469549999997,51965.833333333336,994.1666666666666,0.017446135666666668,0.20683325575,0.17461149,0.25619340175,0.21520759049999996,0.16193476908333335,11.257182683333333,0.10711616691666666,0.4530169368333333,0.054504773000000006,,
44,University Heights/Fordham,inf,1,1,0.3711465644999999,23414.166666666668,956.6666666666666,0.010589198,0.49734060691666665,0.2194189614166667,0.010457233583333335,0.10903825841666666,0.34112741166666666,82.15474613583334,0.3715995350833334,0.35449124016666667,0.13880886025,,
45,Upper East Side,0.0389179154078287,0,0,0.20036780666666665,102105.0,1785.0,0.07898063366666667,0.06762959408333334,0.02649586516666666,0.72429887375,0.72674631325,0.029417100749999998,100.07941030833335,0.05553985933333333,0.33044334025000005,0.03500299083333333,0.031961373791009225,0.6838735089792656
46,Upper West Side,0.0041547792358255335,0,0,0.19617762683333337,96876.66666666667,1615.0,0.07456384466666667,0.11567776683333332,0.05878238383333333,0.6448692723333334,0.6919679901666665,0.051242951416666654,62.43313001250001,0.09155061383333334,0.43741312225,0.049797571000000006,0.004893350236477593,0.8875278854671182
47,Washington Heights/Inwood,0.013596763857742677,0,0,0.44425719516666656,38965.833333333336,1031.6666666666667,0.02139128525,0.6470322729999999,0.07549121866666667,0.15739315325,0.27739465683333336,0.28715627533333327,66.62744440750001,0.22685043149999998,0.42513880825,0.11385978925,0.012955603452192488,0.8383541750551515
48,Williamsbridge/Baychester,-0.009036567913608224,1,1,0.3543512521666667,45306.666666666664,1069.1666666666667,0.02181818075,0.19507322125000004,0.6073071645833333,0.069789417,0.19459349633333334,0.19139161166666666,19.5010504725,0.16471974874999998,0.46588166125,0.11116760199999999,-0.004621672711146269,0.8818793548764932
49,Williamsburg/Greenpoint,-0.005935681134859488,1,1,0.23435929975,46780.0,1181.6666666666667,0.05588813991666666,0.23662913358333337,0.03716938583333334,0.5714820584166667,0.351738226,0.20629327874999995,33.433102022499995,0.2564390859166667,0.4931103901666667,0.05570017208333334,-0.00409958028003648,0.9352662884737882
